raw,n,official,score,lat,lon
CAJA,6,Cajueiro,100.0,-8.0148,-34.9318
SOLEDADE,6,Soledade,100.0,-8.0548,-34.8968
NOSSA SENHORA DA CONCEICAO,6,Nossa Senhora do Ó,100.0,-8.0078,-34.9308
CAETES I,6,Cajueiro,100.0,-8.0148,-34.9318
AGUAZINHA,6,Aguazinha,100.0,-8.0252,-34.9348
PORTO DA MADEIRA,6,Cabanga,100.0,-8.0778,-34.8878
BAIXA VERDE,5,Vasco da Gama,100.0,-8.0128,-34.9138
PARQUE CAPIBARIBE,5,Iputinga,100.0,-8.0558,-34.9378
MANGABEIRA,5,Mangabeira,100.0,-8.0888,-34.9268
VISTA ALEGRE,5,Vista Alegre,100.0,-8.0148,-34.9098
COELHOS,5,Coelhos,100.0,-8.0668,-34.8838
SAPUCAIA,5,Cajueiro Seco,100.0,-8.1148,-34.9498
CABANGA,5,Cabanga,100.0,-8.0778,-34.8878
GUABIRABA,5,Guabiraba,100.0,-8.0108,-34.9368
HIPODROMO,5,Hipódromo,100.0,-8.0468,-34.9098
ALTO SANTA TEREZINHA,5,Alto Santa Terezinha,100.0,-8.0618,-34.9348
CAIXA DAGUA,5,Centro,100.0,-8.0578,-34.8828
ESTANCIA,4,Estância,100.0,-8.0048,-34.9468
DERBY,4,Derby,100.0,-8.0528,-34.8968
TIUMA,4,Totó,100.0,-8.0748,-34.9348
TOTO,4,Totó,100.0,-8.0748,-34.9348
CAETES III,4,Cajueiro Seco,100.0,-8.1148,-34.9498
DOIS IRMAOS,4,Dois Irmãos,100.0,-7.9988,-34.9278
VILA DA FABRICA,4,Vila Rica,75.0,-8.0268,-34.9228
CACOTE,4,Caçote,100.0,-8.1018,-34.9308
SITIO DOS PINTOS,4,Sítio dos Pintos,100.0,-8.0098,-34.9408
TIMBO,3,Timbi,80.0,-8.0268,-34.9528
AFLITOS,3,Aflitos,100.0,-8.047,-34.8998
BREJO DE BEBERIBE,2,Brejo de Beberibe,100.0,-7.9868,-34.8908
AMARO BRANCO,2,Santo Amaro,100.0,-8.0638,-34.8958
UMBURA,2,Ibura,100.0,-8.1148,-34.9308
ALTO JOSE LEAL,2,Alto José do Pinho,100.0,-8.0078,-34.9148
RIACHO DOCE,2,Rio Doce,100.0,-7.9998,-34.8858
ENG DO MEIO,2,Engenho do Meio,100.0,-8.0568,-34.9318
SITIO DO MEIO,2,Sítio dos Pintos,75.86206896551724,-8.0098,-34.9408
MONTEIRO,2,Monteiro,100.0,-8.0468,-34.9148
APIPUCOS,2,Apipucos,100.0,-8.0268,-34.9148
MURIBARA,1,Muribeca,75.0,-8.1118,-34.9538
SANTO INACIO,1,Santo Aleixo,75.0,-8.0918,-34.9498
CURADO IV,1,Curado,100.0,-8.0888,-34.9508
TUIMA,1,Totó,100.0,-8.0748,-34.9348
JARDIM GUARANI,1,Jardim Brasil,74.07407407407408,-7.9968,-34.9178
NOVA BRASILIA,1,Brasília Teimosa,100.0,-8.0948,-34.8968
PAISSANDU,1,Paissandu,100.0,-8.0628,-34.8878
PONTES DOS CARVALHOS,1,Ponte dos Carvalhos,100.0,-8.1348,-34.9398
NOSSA SENHORA APARECIDA,1,Nossa Senhora do Ó,73.17073170731707,-8.0078,-34.9308
MIRUEIRA,1,Imbiribeira,100.0,-8.1068,-34.9148
CENTRO.,1,Centro,100.0,-8.0578,-34.8828
COHAB SAO FRANCISCO,1,Cohab,100.0,-8.0608,-34.9558
JARDIN ATLANTICO,1,Bairro Novo,100.0,-7.9728,-34.8648
SAPUCA,1,Cajueiro Seco,100.0,-8.1148,-34.9498
BARRA HDE JANGADA,1,Barra de Jangada,96.96969696969697,-8.1268,-34.9318
CURADO 4,1,Curado,100.0,-8.0888,-34.9508
ALTO SANTO ANTONIO,1,Santo Antônio,100.0,-8.0618,-34.8788
TORREAO,1,Torreão,100.0,-8.0298,-34.9038
SANTO ONOFRE,1,Santo Antônio,72.0,-8.0618,-34.8788
JD. BRASIL 2,1,Jardim Brasil,100.0,-7.9968,-34.9178
COHAB-I,1,Cohab,100.0,-8.0608,-34.9558
JD. JORDAO,1,Jordão,100.0,-8.1038,-34.9398
CASA  AMARELA,1,Casa Amarela,100.0,-8.0048,-34.9218
SAN MARTIM,1,San Martin,100.0,-8.0028,-34.9268
CAMPO GRAANDE,1,Campo Grande,100.0,-8.0058,-34.9208
BREJO BEBERIBE,1,Brejo de Beberibe,100.0,-7.9868,-34.8908
ALTO MANDU,1,Alto do Mandu,100.0,-8.072,-34.9308
CORREGO JENIPAPO,1,Córrego do Jenipapo,100.0,-8.0928,-34.9428
PARNAMIRM,1,Parnamirim,100.0,-8.0448,-34.9198
JARDIM SAO PUALO,1,Jardim São Paulo,100.0,-7.9978,-34.9148
JARDIM BRASIL II,1,Jardim Brasil,100.0,-7.9968,-34.9178
STO ALEIXO,1,Santo Aleixo,100.0,-8.0918,-34.9498
JARDIM BRASIL 2,1,Jardim Brasil,92.85714285714286,-7.9968,-34.9178
JD PRAZERES,1,Prazeres,100.0,-8.1148,-34.9448
ALTO DOIS IRMAOS,1,Dois Irmãos,100.0,-7.9988,-34.9278
SANTA TEREZA,1,Alto Santa Terezinha,100.0,-8.0618,-34.9348
ILHA DO LEITE,1,Ilha do Leite,100.0,-8.0618,-34.8878
PITANGA,1,Pina,72.72727272727273,-8.1018,-34.8998
TRV SANTA TEREZINHA,1,Alto Santa Terezinha,76.92307692307692,-8.0618,-34.9348
NOSSA SENHORA DA PENHA,1,Nossa Senhora do Ó,80.0,-8.0078,-34.9308
CURADO II,1,Curado,100.0,-8.0888,-34.9508
MONTE,1,Monteiro,76.92307692307692,-8.0468,-34.9148
CABUGA,1,Cabanga,76.92307692307692,-8.0778,-34.8878
AREAL,1,Areias,72.72727272727273,-8.0948,-34.9248
PIRANA,1,Pina,80.0,-8.1018,-34.8998
CENTROQ,1,Centro,100.0,-8.0578,-34.8828
SITIO DOS MARCOS,1,Sítio dos Pintos,75.0,-8.0098,-34.9408
ILHA DO RETIRO,1,Ilha do Retiro,100.0,-8.0808,-34.8998
